0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
11116554@N08,2008,15,23,0.6521739130434783,25,15.0,23.0,0.6521739130434783,angkor,60.0,20.0,3.0,angkorwat,14.0,20.0,0.7,angkorwatpanorama,1.0,1.0,1.0,apsara,4.0,2.0,2.0,boy,1.0,6.0,0.16666666666666666,cambodia,30.0,20.0,1.5,fan,1.0,7.0,0.14285714285714285,girl,1.0,9.0,0.1111111111111111,hdr,11.0,12.0,0.9166666666666666,naga,2.0,1.0,2.0,october,15.0,17.0,0.8823529411764706,panorama,11.0,19.0,0.5789473684210527,reap,15.0,7.0,2.142857142857143,siem,15.0,7.0,2.142857142857143,siemreap,15.0,16.0,0.9375,sword,1.0,4.0,0.25,temple,15.0,47.0,0.3191489361702128,wat,30.0,20.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11136034@N06,103,1,1,1.0,110,1.0,4.0,0.25,113,1.0,7.0,0.14285714285714285,117,1.0,3.0,0.3333333333333333,119,1.0,1.0,1.0,121,1.0,3.0,0.3333333333333333,122,1.0,1.0,1.0,125,1.0,2.0,0.5,132,1.0,1.0,1.0,6,1.0,34.0,0.029411764705882356,95,1.0,3.0,0.3333333333333333,alban,16.0,3.0,5.333333333333333,albán,2.0,1.0,2.0,apostol,1.0,1.0,1.0,archeology,14.0,4.0,3.5,aztec,14.0,18.0,0.7777777777777778,ball,14.0,7.0,2.0,catholic,1.0,9.0,0.1111111111111111,church,1.0,39.0,0.02564102564102564,convento,1.0,1.0,1.0,court,14.0,13.0,1.0769230769230769,cuilapan,2.0,1.0,2.0,cuilapandeguerrero,1.0,1.0,1.0,de,3.0,134.0,0.022388059701492536,exconventodesantiagoapostol,1.0,1.0,1.0,guerrero,2.0,2.0,1.0,maya,14.0,10.0,1.4,mexico,15.0,31.0,0.4838709677419355,monte,18.0,4.0,4.5,oaxaca,27.0,4.0,6.75,olmec,14.0,2.0,7.0,precolumbian,14.0,1.0,14.0,ruin,15.0,48.0,0.3125,santiago,1.0,3.0,0.3333333333333333,temple,14.0,47.0,0.2978723404255319,zapotec,14.0,2.0,7.0,,,,,,,,,,,,,,,,
11561957@N06,040311,11,1,11.0,042,1.0,2.0,0.5,050,1.0,2.0,0.5,050410,2.0,1.0,2.0,05042010,2.0,1.0,2.0,08,1.0,8.0,0.125,150711,2.0,1.0,2.0,1546,1.0,1.0,1.0,160912,1.0,1.0,1.0,1613,1.0,1.0,1.0,1659,1.0,1.0,1.0,1665,1.0,1.0,1.0,1678,1.0,1.0,1.0,16eme,1.0,1.0,1.0,16emearrondissement,1.0,1.0,1.0,17,15.0,28.0,0.5357142857142857,170912,15.0,1.0,15.0,1762,1.0,1.0,1.0,1764,1.0,2.0,0.5,1769,1.0,2.0,0.5,1782,1.0,1.0,1.0,1791,1.0,2.0,0.5,1798,1.0,3.0,0.3333333333333333,1806,11.0,3.0,3.6666666666666665,180912,1.0,1.0,1.0,1815,1.0,3.0,0.3333333333333333,1836,10.0,5.0,2.0,1838,1.0,2.0,0.5,1845,1.0,5.0,0.2,1850,1.0,5.0,0.2,1851,1.0,6.0,0.16666666666666666,1853,2.0,3.0,0.6666666666666666,1863,11.0,4.0,2.75,1871,12.0,2.0,6.0,1892,15.0,4.0,3.75,1896,15.0,9.0,1.6666666666666667,1900,15.0,9.0,1.6666666666666667,1929,1.0,2.0,0.5,200912,13.0,1.0,13.0,4,1.0,43.0,0.02325581395348837
11569205@N08,aztec,30,18,1.6666666666666667,geo:lat3683342177,1.0,1.0,1.0,geo:lat3683490437,1.0,1.0,1.0,geo:lat3683502018,1.0,1.0,1.0,geo:lat3683526273,1.0,1.0,1.0,geo:lat3683527372,1.0,1.0,1.0,geo:lat3683528080,1.0,1.0,1.0,geo:lat3683528205,1.0,1.0,1.0,geo:lat3683528495,1.0,1.0,1.0,geo:lat3683528803,1.0,1.0,1.0,geo:lat3683543683,1.0,1.0,1.0,geo:lat3683544048,1.0,1.0,1.0,geo:lat3683545905,1.0,1.0,1.0,geo:lat3683546107,1.0,1.0,1.0,geo:lat3683553033,1.0,1.0,1.0,geo:lat3683555565,1.0,1.0,1.0,geo:lon10799918540,1.0,1.0,1.0,geo:lon10799923058,1.0,1.0,1.0,geo:lon10799945412,1.0,1.0,1.0,geo:lon10799969088,1.0,1.0,1.0,geo:lon10799971268,1.0,1.0,1.0,geo:lon10799971943,1.0,1.0,1.0,geo:lon10799972212,1.0,1.0,1.0,geo:lon10799974082,1.0,1.0,1.0,geo:lon10799995442,1.0,1.0,1.0,geo:lon10799997205,1.0,1.0,1.0,geo:lon10799997287,1.0,1.0,1.0,geo:lon10799998638,1.0,1.0,1.0,geo:lon10799998913,1.0,1.0,1.0,geo:lon10800027168,1.0,1.0,1.0,geo:lon10800065118,1.0,1.0,1.0,geotagged,15.0,21.0,0.7142857142857143,lizard,1.0,2.0,0.5,monument,14.0,63.0,0.2222222222222222,national,14.0,47.0,0.2978723404255319,newmexico,15.0,10.0,1.5,ruin,15.0,48.0,0.3125,unitedstate,15.0,5.0,3.0,usa,15.0,14.0,1.0714285714285714,vision:clouds0518,1.0,1.0,1.0
11625451@N02,1,1,53,0.018867924528301886,10,2.0,37.0,0.054054054054054064,11,1.0,27.0,0.037037037037037035,2,1.0,66.0,0.015151515151515154,33,1.0,6.0,0.16666666666666666,4,1.0,43.0,0.02325581395348837,5,1.0,41.0,0.024390243902439025,6,1.0,34.0,0.029411764705882356,7,1.0,22.0,0.045454545454545456,8,1.0,23.0,0.043478260869565216,9,1.0,20.0,0.05,alte,15.0,23.0,0.6521739130434783,altesmuseum,13.0,13.0,1.0,berlijn,15.0,2.0,7.5,berlijnhenkjan,12.0,1.0,12.0,berlin,30.0,65.0,0.4615384615384616,betende,1.0,2.0,0.5,bodemuseum,2.0,1.0,2.0,der,1.0,19.0,0.05263157894736842,deutschland,15.0,25.0,0.6,duitsland,15.0,3.0,5.0,fotoshenkjansony,3.0,1.0,3.0,germany,15.0,56.0,0.26785714285714285,knabe,1.0,2.0,0.5,koepel,1.0,1.0,1.0,museum,15.0,67.0,0.22388059701492535,sculpture,15.0,68.0,0.22058823529411764,sculptuur,15.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11962371@N00,al,18,12,1.5,ara,12.0,14.0,0.8571428571428571,ara_pacis_marzetti06.09,1.0,1.0,1.0,arapaci,14.0,14.0,1.0,architect,14.0,23.0,0.6086956521739131,architecture,7.0,70.0,0.1,architettura,8.0,5.0,1.6,archiwatch,14.0,1.0,14.0,battesimo,18.0,1.0,18.0,chiameremo,18.0,1.0,18.0,coji,4.0,1.0,4.0,colonna,2.0,1.0,2.0,delirio,18.0,1.0,18.0,della,2.0,1.0,2.0,dell’ara,18.0,1.0,18.0,eureka,2.0,2.0,1.0,finalmente,2.0,3.0,0.6666666666666666,folla,18.0,1.0,18.0,giorgio,10.0,1.0,10.0,giorgiomuratore,7.0,1.0,7.0,grande,2.0,12.0,0.16666666666666666,ha,2.0,2.0,1.0,il,2.0,10.0,0.2,la,20.0,73.0,0.273972602739726,meier,9.0,3.0,3.0,muratore,13.0,1.0,13.0,musica,2.0,1.0,2.0,nuova,2.0,1.0,2.0,n’do,2.0,1.0,2.0,paci,12.0,16.0,0.75,problema,2.0,1.0,2.0,profezie,4.0,1.0,4.0,richardmeier,7.0,5.0,1.4,risolto,2.0,1.0,2.0,romana,2.0,2.0,1.0,sovrintendenza,2.0,1.0,2.0,surreali,4.0,1.0,4.0,sòla,18.0,1.0,18.0,,,,,,,,
12071889@N00,began,1,16,0.0625,cathedral,18.0,85.0,0.21176470588235294,chartre,17.0,20.0,0.85,chartresenlumiere,14.0,1.0,14.0,cold,1.0,7.0,0.14285714285714285,colour,1.0,9.0,0.1111111111111111,france,15.0,60.0,0.25,gothic,1.0,26.0,0.038461538461538464,horribly,1.0,1.0,1.0,late,1.0,22.0,0.045454545454545456,light,1.0,50.0,0.02,marvellous,1.0,1.0,1.0,night,2.0,41.0,0.04878048780487805,north,1.0,64.0,0.015625,portal,1.0,17.0,0.05882352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12195365@N04,10,15,37,0.40540540540540543,abbey,15.0,11.0,1.3636363636363635,aquarium,15.0,5.0,3.0,ben,15.0,22.0,0.6818181818181818,benhouse,15.0,1.0,15.0,big,30.0,32.0,0.9375,chinatown,15.0,1.0,15.0,downing,15.0,2.0,7.5,eye,15.0,20.0,0.75,guard,15.0,7.0,2.142857142857143,horse,15.0,11.0,1.3636363636363635,house,15.0,52.0,0.28846153846153844,life,15.0,19.0,0.7894736842105263,london,15.0,38.0,0.3947368421052632,parade,15.0,4.0,3.75,parliament,30.0,15.0,2.0,sea,15.0,19.0,0.7894736842105263,square,15.0,25.0,0.6,street,15.0,40.0,0.375,trinity,15.0,3.0,5.0,westminster,15.0,16.0,0.9375,westminter,15.0,1.0,15.0,whitehall,15.0,8.0,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12289625@N04,chichen,45,17,2.647058823529412,itza,45.0,17.0,2.647058823529412,maya,45.0,10.0,4.5,mayan,15.0,13.0,1.1538461538461535,mejico,15.0,1.0,15.0,mexico,15.0,31.0,0.4838709677419355,riviera,45.0,1.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12413207@N03,albert,16,22,0.7272727272727273,albertmemorial,15.0,15.0,1.0,camera,14.0,26.0,0.5384615384615384,d300,2.0,4.0,0.5,demo,1.0,2.0,0.5,england,15.0,23.0,0.6521739130434783,face,1.0,22.0,0.045454545454545456,flickrexport,1.0,1.0,1.0,flickrexportdemo,1.0,1.0,1.0,href,1.0,119.0,0.008403361344537815,http:connectedflow.comflickrexport,1.0,1.0,1.0,hydepark,15.0,7.0,2.142857142857143,kensingtongarden,13.0,8.0,1.625,london,15.0,38.0,0.3947368421052632,memorial,15.0,29.0,0.5172413793103449,nikon,2.0,21.0,0.09523809523809523,nofollow,1.0,83.0,0.012048192771084338,panasoniclumixtz10,13.0,1.0,13.0,park,15.0,32.0,0.46875,rel,1.0,83.0,0.012048192771084338,sigma1020f456,2.0,1.0,2.0,travel,15.0,35.0,0.42857142857142855,uploaded,1.0,3.0,0.3333333333333333,version,1.0,16.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12487815@N05,645,1,1,1.0,647,1.0,1.0,1.0,658,1.0,1.0,1.0,659,1.0,1.0,1.0,661,1.0,1.0,1.0,662,1.0,1.0,1.0,663,1.0,2.0,0.5,664,1.0,1.0,1.0,668,1.0,1.0,1.0,670,1.0,1.0,1.0,672,1.0,1.0,1.0,673,1.0,1.0,1.0,677,1.0,1.0,1.0,678,1.0,1.0,1.0,681,1.0,2.0,0.5,couldn't,1.0,5.0,0.2,day,1.0,51.0,0.0196078431372549,dell'ara,15.0,4.0,3.75,hot,1.0,8.0,0.125,italia,15.0,15.0,1.0,italy,15.0,31.0,0.4838709677419355,museo,15.0,10.0,1.5,museodellarapaci,15.0,2.0,7.5,paci,15.0,16.0,0.9375,resist,1.0,2.0,0.5,roma,15.0,22.0,0.6818181818181818,rome,15.0,40.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12494041@N00,albert,3,22,0.13636363636363635,albertmemorial,15.0,15.0,1.0,hall,1.0,38.0,0.02631578947368421,italiangarden,15.0,1.0,15.0,kensingtongarden,15.0,8.0,1.875,london,15.0,38.0,0.3947368421052632,memorial,2.0,29.0,0.06896551724137931,p1150145,1.0,1.0,1.0,p1150151,1.0,1.0,1.0,p1150173,1.0,1.0,1.0,p1170218,1.0,1.0,1.0,p1170220,1.0,1.0,1.0,p1170225,1.0,1.0,1.0,p1170235,1.0,1.0,1.0,p1170258,1.0,1.0,1.0,p1170276,1.0,1.0,1.0,p1170277,1.0,1.0,1.0,p1170279,1.0,1.0,1.0,p1170280,1.0,1.0,1.0,peterpan,15.0,2.0,7.5,physicalenergy,15.0,1.0,15.0,queensgate,15.0,1.0,15.0,rinaldo,15.0,1.0,15.0,royal,1.0,23.0,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
