Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66	Column67	Column68	Column69	Column70	Column71	Column72	Column73	Column74	Column75	Column76	Column77	Column78	Column79	Column80	Column81	Column82	Column83	Column84	Column85	Column86	Column87	Column88	Column89	Column90	Column91	Column92	Column93	Column94	Column95	Column96	Column97	Column98	Column99	Column100	Column101	Column102	Column103	Column104	Column105	Column106	Column107	Column108	Column109	Column110	Column111	Column112	Column113	Column114	Column115	Column116	Column117	Column118	Column119	Column120	Column121	Column122	Column123	Column124	Column125	Column126	Column127	Column128	Column129	Column130	Column131	Column132	Column133	Column134	Column135	Column136	Column137	Column138	Column139	Column140	Column141	Column142	Column143	Column144	Column145	Column146	Column147	Column148	Column149	Column150	Column151	Column152	Column153	Column154	Column155	Column156	Column157	Column158	Column159	Column160	Column161	Column162
25334641@N08	11	1	27	0.037037037	112	1	2	0.5	117	1	3	0.333333333	150th	1	2	0.5	182	1	1	1	182nd	2	1	2	1850	1	5	0.2	1859	1	5	0.2	1971	1	3	0.333333333	1976	2	5	0.4	2000	2	4	0.5	2001	2	2	1	2007	1	28	0.035714286	2009	1	29	0.034482759	334	1	1	1	4am	1	1	1	5	1	41	0.024390244	55	1	2	0.5	95.7	1	1	1	_self	12	1	12	accident	1	4	0.25	air	1	15	0.066666667	aka	1	5	0.2	alter	1	3	0.333333333	anniversary	2	9	0.222222222	appearance	1	5	0.2	appeared	1	3	0.333333333	arbor	1	1	1	august	1	13	0.076923077	ayrton	1	1	1	barrel	1	4	0.25	bearing	2	5	0.4	belfry	3	2	1.5	believed	1	6	0.166666667	bell	11	17	0.647058824	ben	37	22	1.681818182	ben'	2	2	1	beneath	1	10	0.1	benjamin	2	2	1	ben’	3	1	3	best
25367139@N00	1880	1	4	0.25	bell	3	17	0.176470588	cathedral	16	85	0.188235294	cologne	15	20	0.75	colognecathedral	15	11	1.363636364	commemorate	1	8	0.125	finial	1	2	0.5	finishing	1	1	1	front	1	52	0.019230769	inside	3	55	0.054545455	life	1	19	0.052631579	model	2	15	0.133333333	place	1	46	0.02173913	ruin	1	48	0.020833333	size	1	11	0.090909091	tower	3	103	0.029126214	underneath	1	6	0.166666667	vane	1	1	1	view	2	117	0.017094017	weather	1	14	0.071428571																																																																																	
25381783@N05	2	2	66	0.03030303	3	2	59	0.033898305	4	1	43	0.023255814	altare	11	1	11	ancientmodern	1	1	1	animal	11	21	0.523809524	arapaci	15	14	1.071428571	augusto	15	3	5	baby	1	2	0.5	bull	1	2	0.5	dragon	1	2	0.5	front	1	52	0.019230769	griffin	1	1	1	imperator	11	1	11	lion	3	16	0.1875	monument	4	63	0.063492063	pax	4	2	2	paxaugustea	11	1	11	peace	15	16	0.9375	rome	15	40	0.375	sea	1	19	0.052631579	sheep	1	1	1	statue	15	86	0.174418605	tellus	4	3	1.333333333	trio	1	3	0.333333333																																																													
25453448@N02	11	1	27	0.037037037	1200	1	7	0.142857143	1248	4	2	2	1435mmgauge	6	1	6	1473	4	1	4	186	2	2	1	1880	4	4	1	1894	5	3	1.666666667	1907	1	4	0.25	1911	1	4	0.25	1959	1	2	0.5	19th	5	9	0.555555556	19thcentury	4	4	1	2	11	66	0.166666667	2007	1	28	0.035714286	2011	4	23	0.173913043	3	1	59	0.016949153	300	2	6	0.333333333	3m	1	1	1	4	1	43	0.023255814	407	1	3	0.333333333	43	1	6	0.166666667	4607	1	1	1	4711	2	1	2	5	1	41	0.024390244	5237	1	1	1	6	1	34	0.029411765	7	1	22	0.045454545	8	1	23	0.043478261	accessible	1	4	0.25	adjacent	6	3	2	advert	3	1	3	advertisement	1	1	1	age	6	11	0.545454545	aisle	3	5	0.6	allied	1	4	0.25	amsterdam	2	2	1	appear	1	10	0.1	approaching	1	4	0.25	arch	2	24	0.083333333	arche
25509772@N00	161	1	1	1	2007	1	28	0.035714286	26	1	17	0.058823529	399	1	2	0.5	"5,000"	1	1	1	5000	1	1	1	600	1	2	0.5	access	1	12	0.083333333	acropolei	1	1	1	acropoli	48	21	2.285714286	ad	1	12	0.083333333	afternoon	1	12	0.083333333	agora	5	3	1.666666667	air	1	15	0.066666667	altar	1	19	0.052631579	amazing	1	10	0.1	amphitheater	2	6	0.333333333	amphitheatre	2	6	0.333333333	ancient	7	37	0.189189189	annia	1	1	1	antiquity	1	5	0.2	area	1	38	0.026315789	arsenal	1	2	0.5	aspasia	1	1	1	athen	44	22	2	athenian	1	5	0.2	atticus	7	3	2.333333333	attraction	1	10	0.1	b.c	2	7	0.285714286	background	1	24	0.041666667	beautiful	1	23	0.043478261	best	3	24	0.125	bring	1	7	0.142857143	built	2	50	0.04	capacity	2	3	0.666666667	caryatid	1	6	0.166666667	celebrated	1	2	0.5	center	1	40	0.025	chamber	1	5	0.2	city	4	67	0.059701493	commercial
25869855@N04	20110423_agra_fort_004	1	1	1	20110423_agra_fort_005	1	1	1	20110423_agra_fort_015	1	1	1	20110423_agra_fort_024	1	1	1	20110423_agra_fort_036	1	1	1	20110423_agra_fort_037	1	1	1	20110423_agra_fort_045	1	1	1	20110423_agra_fort_050	1	1	1	20110423_agra_fort_058	1	1	1	20110423_agra_fort_074	1	1	1	20110423_agra_fort_084	1	1	1	20110423_agra_fort_085	1	1	1	20110423_agra_fort_090	1	1	1	20110423_agra_fort_094	1	1	1	20110423_agra_fort_096	1	1	1	agra	30	20	1.5	fort	30	33	0.909090909																																																																																													
25897810@N00	america	15	12	1.25	berkowitz	15	1	15	brasil	30	5	6	brazil	45	17	2.647058824	cc	15	3	5	christ	15	23	0.652173913	corcovado	14	7	2	cristo	14	5	2.8	david	15	8	1.875	de	30	134	0.223880597	href	15	119	0.12605042	http:www.marketersstudio.com	15	1	15	janeiro	30	12	2.5	mountain	6	11	0.545454545	nofollow	15	83	0.180722892	redeemer	15	16	0.9375	redentor	14	4	3.5	rel	15	83	0.180722892	rio	45	19	2.368421053	riodejaneiro	15	15	1	south	15	53	0.283018868	southamerica	15	10	1.5	travel	15	35	0.428571429	www.marketersstudio.com	15	1	15																																																																	
26323303@N02	2009	8	29	0.275862069	20th	7	6	1.166666667	acropoli	28	21	1.333333333	acropolismuseum	11	3	3.666666667	ancient	1	37	0.027027027	architect	6	23	0.260869565	architecture	2	70	0.028571429	athen	29	22	1.318181818	beneath	1	10	0.1	bernard	6	3	2	building	2	73	0.02739726	entrance	2	47	0.042553191	erechtheion	2	9	0.222222222	europe	2	43	0.046511628	floor	1	21	0.047619048	glass	1	36	0.027777778	greece	13	21	0.619047619	hall	1	38	0.026315789	inaguration	4	1	4	inside	1	55	0.018181818	june	8	14	0.571428571	karyatide	2	1	2	main	1	32	0.03125	museum	15	67	0.223880597	newacropolismuseum	5	2	2.5	newavropolismuseum	1	1	1	open	4	18	0.222222222	parthenon	1	14	0.071428571	ruin	2	48	0.041666667	statue	1	86	0.011627907	tschumi	12	1	12	αθήνα	6	6	1	ελλάσ	6	2	3																													
26552107@N00	16th	2	4	0.5	assumption	1	1	1	astronomical	2	3	0.666666667	blessed	1	3	0.333333333	cathedral	32	85	0.376470588	center	1	40	0.025	century	2	36	0.055555556	chartre	30	20	1.5	christ	1	23	0.043478261	clock	2	15	0.133333333	coronation	1	2	0.5	damned	1	1	1	death	1	11	0.090909091	doorway	2	18	0.111111111	entrance	1	47	0.021276596	exiting	1	2	0.5	facade	4	22	0.181818182	figure	1	23	0.043478261	france	15	60	0.25	front	1	52	0.019230769	headed	1	3	0.333333333	job	1	4	0.25	judgement	1	3	0.333333333	majesty	1	3	0.333333333	malcom	1	2	0.5	medieval	15	13	1.153846154	miller'	1	1	1	north	10	64	0.15625	porch	1	9	0.111111111	portal	8	17	0.470588235	solomon	1	1	1	south	2	53	0.037735849	station	1	22	0.045454545	suffering	1	3	0.333333333	top	2	53	0.037735849	tour	1	29	0.034482759	train	1	15	0.066666667	tympanum	1	8	0.125	underneath	1	6	0.166666667	view	3	117	0.025641026	virgin
27087959@N00	agra	31	20	1.55	agrafort	15	15	1	arche	2	11	0.181818182	arched	1	2	0.5	carved	1	12	0.083333333	detail	3	47	0.063829787	doorway	2	18	0.111111111	entrance	1	47	0.021276596	fort	16	33	0.484848485	india	28	19	1.473684211	side	1	56	0.017857143	sunlit	1	1	1	tesselation	1	1	1	top	1	53	0.018867925	tourism	15	5	3	travel	15	35	0.428571429	tree	1	26	0.038461538	view	1	117	0.008547009	work	1	39	0.025641026																																																																																					
27105072@N00	archaeologicalsite	15	2	7.5	archaeology	15	10	1.5	architecture	16	70	0.228571429	arizona	15	18	0.833333333	az	1	4	0.25	castle	18	42	0.428571429	chichén	30	7	4.285714286	chichénitzá	15	5	3	dioramasky	30	1	30	dwwg	1	1	1	itzá	30	7	4.285714286	maya	15	10	1.5	mesoamerica	15	3	5	montezuma	29	16	1.8125	montezumacastle	1	7	0.142857143	montezumacastlenationalmonument	14	4	3.5	montezumawell	6	1	6	monument	10	63	0.158730159	méxico	30	4	7.5	national	10	47	0.212765957	nationalmonument	1	6	0.166666667	nativeamerican	1	2	0.5	ossario	1	2	0.5	outlet	1	1	1	rim	2	7	0.285714286	spider	2	2	1	trail	3	9	0.333333333	well	12	31	0.387096774	yucatán	30	2	15																																													
27283274@N00	1	5	53	0.094339623	2	3	66	0.045454545	2005	1	11	0.090909091	2006	29	21	1.380952381	24	5	17	0.294117647	25	9	23	0.391304348	26	1	17	0.058823529	3	2	59	0.033898305	5	1	41	0.024390244	abendmesse	1	1	1	alatar	1	1	1	altar	7	19	0.368421053	alter	1	3	0.333333333	bleibt	1	1	1	bond	1	1	1	cancelled	1	1	1	cathedral	38	85	0.447058824	celesteh	15	1	15	climbed	1	2	0.5	closed	1	8	0.125	cologne	27	20	1.35	common	1	13	0.076923077	cup	1	5	0.2	delayed	1	2	0.5	der	2	19	0.105263158	deutschland	15	25	0.6	dom	1	24	0.041666667	door	4	32	0.125	doorway	1	18	0.055555556	europa	15	10	1.5	europe	15	43	0.348837209	evening	1	11	0.090909091	fifa	2	2	1	football	3	4	0.75	front	1	52	0.019230769	fussball	2	1	2	german	1	18	0.055555556	germany	15	56	0.267857143	geschlossen	1	2	0.5	grave	1	5	0.2	heaven
27408144@N07	castle	35	42	0.833333333	montezuma	50	16	3.125	monument	35	63	0.555555556	national	25	47	0.531914894	unit	5	1	5	well	15	31	0.483870968																																																																																																																																									
27441569@N07	architektur	15	13	1.153846154	berlin	46	65	0.707692308	eingangsbereich	2	1	2	grab	15	3	5	museum	46	67	0.686567164	neue	31	24	1.291666667	neuesmuseum	15	19	0.789473684	relief	15	24	0.625	statue	15	86	0.174418605	wand	15	2	7.5	zypern	15	1	15	ägypten	15	2	7.5																																																																																																																	
27551984@N08	2010365	1	1	1	2010365photo	1	1	1	96	1	5	0.2	augustine	2	11	0.181818182	base	1	20	0.05	boat	1	14	0.071428571	called	1	24	0.041666667	castillo	2	26	0.076923077	castillodesanmarco	14	18	0.777777778	day	1	51	0.019607843	de	2	134	0.014925373	dsc_0016	1	1	1	dsc_0025	1	1	1	dsc_0026	1	1	1	dsc_0027	1	1	1	dsc_0028	1	1	1	dsc_0034	1	1	1	dsc_0035	1	1	1	dsc_0036	1	1	1	edtech3652010	1	1	1	element	1	12	0.083333333	entrance	1	47	0.021276596	exploring	1	3	0.333333333	family	1	17	0.058823529	favorite	1	9	0.111111111	flag	1	22	0.045454545	florida	15	25	0.6	fort	17	33	0.515151515	front	1	52	0.019230769	lone	1	1	1	mantanza	8	1	8	marco	2	21	0.095238095	matanza	2	3	0.666666667	men	1	6	0.166666667	oldestcity	14	1	14	river	11	26	0.423076923	san	2	62	0.032258065	set	1	31	0.032258065	shortly	1	3	0.333333333	shot	2	32	0.0625	spent
27749836@N02	art	1	48	0.020833333	casagrande	1	3	0.333333333	castle	15	42	0.357142857	ceiling	2	22	0.090909091	chair	1	9	0.111111111	fireplace	1	6	0.166666667	flower	1	18	0.055555556	garden	1	44	0.022727273	guide	1	10	0.1	hearst	15	20	0.75	hearstcastle	15	19	0.789473684	ocean	1	6	0.166666667	room	1	31	0.032258065	sculpture	1	68	0.014705882	statue	1	86	0.011627907	tapestry	1	2	0.5	tour	1	29	0.034482759	tower	1	103	0.009708738	view	1	117	0.008547009																																																																																					
28328451@N08	air	1	15	0.066666667	artillery	1	3	0.333333333	background	1	24	0.041666667	bay	1	13	0.076923077	brunch	12	2	6	cabrillo	28	20	1.4	cabrillonationalmonument	15	8	1.875	cactus	1	4	0.25	center	1	40	0.025	decided	12	5	2.4	diego	2	10	0.2	downtown	1	21	0.047619048	everyone'	2	1	2	explorer	2	8	0.25	favorite	2	9	0.222222222	island	14	17	0.823529412	lighthouse	1	10	0.1	monument	16	63	0.253968254	national	15	47	0.319148936	naval	1	1	1	north	1	64	0.015625	san	2	62	0.032258065	sandiego	15	11	1.363636364	shelter	13	2	6.5	shot	1	32	0.03125	station	1	22	0.045454545	visitor	1	17	0.058823529	walk	12	14	0.857142857																																																	
28333802@N04	12th	1	7	0.142857143	900	1	3	0.333333333	amazingly	1	3	0.333333333	angkor	30	20	1.5	angkorwat	15	20	0.75	approache	1	2	0.5	beautiful	2	23	0.086956522	bottom	1	8	0.125	boy	1	6	0.166666667	brother	1	4	0.25	buddhist	2	9	0.222222222	buddhistmonk	1	1	1	building	1	73	0.01369863	built	1	50	0.02	camabodia	1	1	1	cambodia	44	20	2.2	cambodianchildren	2	1	2	carvedface	2	1	2	carvedstone	2	1	2	carving	2	14	0.142857143	century	1	36	0.027777778	close	1	27	0.037037037	closer	1	7	0.142857143	comfort	1	1	1	coming	1	10	0.1	complex	1	16	0.0625	couldn't	1	5	0.2	crawl	1	1	1	cutekid	1	1	1	dappled	1	1	1	dappledsunlight	2	1	2	darling	1	1	1	difficult	1	7	0.142857143	early	1	23	0.043478261	evening	1	11	0.090909091	face	2	22	0.090909091	family	3	17	0.176470588	favorite	2	9	0.222222222	figure	1	23	0.043478261	flipflop	1	1	1	form
28396605@N00	1	1	53	0.018867925	14	1	28	0.035714286	15	1	23	0.043478261	17	1	28	0.035714286	18	1	23	0.043478261	2	1	66	0.015151515	21	1	18	0.055555556	22	1	18	0.055555556	23	1	16	0.0625	24	1	17	0.058823529	25	1	23	0.043478261	3	1	59	0.016949153	5	1	41	0.024390244	6	1	34	0.029411765	7	1	22	0.045454545	albert	47	22	2.136363636	band	2	9	0.222222222	bar	15	7	2.142857143	benefit	15	2	7.5	blue	1	28	0.035714286	broadway	15	2	7.5	christinarutzpaparutzi	15	1	15	concert	30	9	3.333333333	derek	1	1	1	loui	15	8	1.875	memorial	45	29	1.551724138	missouri	15	2	7.5	oyster	15	3	5	randy	45	1	45	rx	1	1	1	saint	15	15	1	thoma	1	7	0.142857143	uncle	2	1	2																													
28763193@N00	2005	15	11	1.363636364	cat	22	1	22	colloseo	14	1	14	colosseo	1	5	0.2	colosseum	31	20	1.55	december	15	12	1.25	distance	1	24	0.041666667	fori	1	2	0.5	gatti	11	1	11	gatto	11	1	11	imperiali	1	2	0.5	italy	15	31	0.483870968	notmycat	11	1	11	rome	15	40	0.375	someoneelsescat	11	1	11																																																																																																					
28767098@N07	africa	15	9	1.666666667	baobab	1	1	1	dakar	15	2	7.5	de	15	134	0.111940299	dwarf	1	1	1	ile	15	3	5	iledelamadeleine	15	1	15	la	15	73	0.205479452	madeleine	15	18	0.833333333	senegal	15	2	7.5	tree	1	26	0.038461538																																																																																																																					
28877115@N06	01	3	10	0.3	02	3	10	0.3	03	2	9	0.222222222	04	1	12	0.083333333	06	1	12	0.083333333	11	1	27	0.037037037	16	1	21	0.047619048	18	1	23	0.043478261	20	1	17	0.058823529	21	1	18	0.055555556	alexanderplatz	1	5	0.2	berlin	2	65	0.030769231	brandenburg	15	23	0.652173913	brandenburggate	15	16	0.9375	communication	1	1	1	framed	1	2	0.5	gate	16	38	0.421052632	level	2	19	0.105263158	lower	1	12	0.083333333	night	10	41	0.243902439	siegessäule	2	2	1	tiergarten	1	4	0.25	tower	1	103	0.009708738	trees	1	21	0.047619048	upper	1	16	0.0625																																																													
29057345@N04	20thoctober	1	1	1	26	1	17	0.058823529	26march	2	1	2	26march2011	2	1	2	abbey	2	11	0.181818182	afuturethatwork	1	1	1	alternative	2	3	0.666666667	angel	1	27	0.037037037	anticut	2	1	2	anticutsdemo	2	1	2	austerity	1	1	1	autumn	1	6	0.166666667	ballon	1	1	1	balloon	2	4	0.5	banner	4	3	1.333333333	ben	10	22	0.454545455	big	10	32	0.3125	bigben	14	17	0.823529412	black	1	23	0.043478261	blackcab	1	1	1	boadicea	2	1	2	boudicca	2	1	2	bridge	5	34	0.147058824	bus	3	14	0.214285714	cab	2	4	0.5	camera	1	26	0.038461538	check	1	9	0.111111111	choir	1	8	0.125	christma	1	9	0.111111111	christmaslight	1	1	1	christmastree	1	2	0.5	clock	9	15	0.6	clocktower	2	8	0.25	close	1	27	0.037037037	coolpix	1	1	1	countyhall	1	1	1	court	1	13	0.076923077	cut	2	6	0.333333333	dark	1	11	0.090909091	demonstration	2	4	0.5	distance
29172291@N00	1792	1	6	0.166666667	1810	1	5	0.2	1814	1	4	0.25	2008	2	23	0.086956522	2011	1	23	0.043478261	2012	5	21	0.238095238	andy	1	1	1	arc	22	22	1	arcdetriomphe	8	17	0.470588235	arch	2	24	0.083333333	avenue	2	12	0.166666667	champ	1	9	0.111111111	coeur	1	2	0.5	de	26	134	0.194029851	defense	1	5	0.2	du	1	27	0.037037037	départ	1	3	0.333333333	eiffel	1	15	0.066666667	elysee	1	1	1	face	1	22	0.045454545	family	1	17	0.058823529	france	15	60	0.25	holiday	1	10	0.1	inside	2	55	0.036363636	la	3	73	0.04109589	larésistancede1814	1	2	0.5	le	2	24	0.083333333	ledépartdesvolontairesde1792	1	2	0.5	letriomphede1810	1	2	0.5	lightroom	5	4	1.25	marseillaise	1	5	0.2	orange	2	15	0.133333333	pari	16	49	0.326530612	pleiades:depicts148054	1	1	1	relief	8	24	0.333333333	roman	1	34	0.029411765	ruin	1	48	0.020833333	résistance	1	2	0.5	sacre	1	2	0.5	statue	2	86	0.023255814	summer
29326506@N04	120	1	2	0.5	1931	1	3	0.333333333	altitude	1	1	1	amazed	1	3	0.333333333	amazing	2	10	0.2	america	2	12	0.166666667	ande	2	1	2	approached	1	3	0.333333333	argentina	15	19	0.789473684	arma	1	2	0.5	beach	1	16	0.0625	beache	1	2	0.5	beautiful	4	23	0.173913043	boliva	15	1	15	brazil	17	17	1	building	2	73	0.02739726	built	1	50	0.02	car	1	16	0.0625	carnival	1	1	1	casarosada	15	18	0.833333333	cathedral	2	85	0.023529412	cemeteryofrecoleta	15	1	15	chewing	1	1	1	christ	8	23	0.347826087	christtheredeemer	15	13	1.153846154	climb	1	5	0.2	close	1	27	0.037037037	cloth	1	1	1	clothing	1	2	0.5	coca	1	2	0.5	coconut	1	2	0.5	completed	1	19	0.052631579	construction	1	32	0.03125	continue	1	5	0.2	copa	15	1	15	copacabana	15	2	7.5	course	1	12	0.083333333	cuzco	17	1	17	de	4	134	0.029850746	distance	1	24	0.041666667	dressed
29501028@N00	100	9	16	0.5625	320	3	2	1.5	400	3	7	0.428571429	80	9	17	0.529411765	book	12	11	1.090909091	camera	3	26	0.115384615	center	15	40	0.375	civic	15	16	0.9375	civiccenter	15	13	1.153846154	color	10	15	0.666666667	cross	3	20	0.15	crossprocess	3	2	1.5	dropped	3	2	1.5	e100v	6	1	6	expired	3	2	1.5	exposure	3	7	0.428571429	festival	12	6	2	film	27	9	3	foodie	3	1	3	foodtruck	3	1	3	francisco	27	20	1.35	fujifilm	3	3	1	international	12	8	1.5	iso	12	5	2.4	k1000	30	1	30	k1000_e100v	3	1	3	k1000_lomo100_27july2012_33820007	1	1	1	k1000_lomo100_27july2012_33820008	1	1	1	k1000_lomo100_27july2012_33820011	1	1	1	k1000_lomo100_27july2012_33820012	1	1	1	k1000_lomo100_27july2012_33820016	1	1	1	k1000_lomo100_27july2012_33820018	1	1	1	k1000_lomo100_27july2012_33820031	1	1	1	k1000_lomo100_27july2012_33820032	1	1	1	k1000_lomo100_27july2012_33820035	1	1	1	k1000_xtra400_27july2012_33830001	1	1	1	k1000_xtra400_27july2012_33830009	1	1	1	k1000_xtra400_27july2012_33830010	1	1	1	kodak	3	3	1	lomography	9	1	9	negative
29529678@N00	barcelona	15	20	0.75	barcelonaleg	15	1	15	batllo	15	13	1.153846154	casa	15	47	0.319148936	casabatllo	15	11	1.363636364	nhanusek	15	1	15	nicolehanusek	15	1	15																																																																																																																																					
29544454@N00	2013	15	16	0.9375	berlin	30	65	0.461538462	museum	1	67	0.014925373	neue	1	24	0.041666667	neuesmuseum	15	19	0.789473684	untitled	14	1	14	walkway	1	5	0.2																																																																																																																																					
29629508@N05	alexandre	15	22	0.681818182	iii	15	25	0.6	pari	30	49	0.612244898	pont	15	21	0.714285714	pontalexandreiii	15	14	1.071428571																																																																																																																																													
29804257@N03	3	1	59	0.016949153	armpit	1	2	0.5	brasil	1	5	0.2	brazilcorcovado	15	1	15	bridge	1	34	0.029411765	christ	4	23	0.173913043	christtheredeemer	15	13	1.153846154	cidadedoriodejaneiro	1	1	1	cidadesbrasileira	1	1	1	cloud	2	22	0.090909091	cloudy	2	4	0.5	corcovado	20	7	2.857142857	enlightened	1	2	0.5	fiery	1	1	1	forest	3	7	0.428571429	glade	1	1	1	minute	1	8	0.125	niterói	1	1	1	rail	1	7	0.142857143	redeemer	3	16	0.1875	redeemer'	1	2	0.5	rio	1	19	0.052631579	riodejaneiro	15	15	1	sky	1	28	0.035714286	station	1	22	0.045454545	sun	1	26	0.038461538	tijuca	2	2	1	top	1	53	0.018867925	touristspot	15	1	15	train	1	15	0.066666667	view	3	117	0.025641026	weather	2	14	0.142857143																																	
30515687@N05	10	1	37	0.027027027	10.315	1	1	1	10.5118	1	1	1	10.748	2	1	2	10.8268	1	1	1	11.811	1	1	1	12	1	27	0.037037037	12.7953	1	1	1	1220	14	3	4.666666667	1270	14	1	14	13.8583	2	1	2	14	1	28	0.035714286	14.0157	1	1	1	14.0551	1	1	1	14.1732	1	1	1	1553090.01254	1	1	1	1553090.01261	1	1	1	1553090.01262	1	1	1	1553090.01263	1	1	1	1553090.01264	1	1	1	1553090.01266	1	1	1	1553090.01267	1	1	1	1553090.01268	1	1	1	1553090.01269	1	1	1	1553090.01270	1	1	1	1553090.01427	1	1	1	1553090.01512	1	1	1	1553090.01515	1	1	1	1553090.01516	1	1	1	1553090.01517	1	1	1	16	1	21	0.047619048	17.4803	1	1	1	17.5591	1	1	1	17.7953	1	1	1	17.8346	1	1	1	18.5	1	1	1	1841	4	4	1	1858	4	3	1.333333333	1862	4	4	1	1865	10	4	2.5	1877
30616141@N04	02	1	10	0.1	1	2	53	0.037735849	1830	1	4	0.25	2	2	66	0.03030303	233	1	2	0.5	3	2	59	0.033898305	300	1	6	0.166666667	abducted	1	2	0.5	akhenaten	9	4	2.25	altar	5	19	0.263157895	alte	31	23	1.347826087	altes_museum_dome	1	1	1	altes_museum_front_berlin	1	1	1	amazing	1	10	0.1	ancient	4	37	0.108108108	ancientegypt	13	2	6.5	ancientworld	17	1	17	archaeology	25	10	2.5	architecture	1	70	0.014285714	artefact	11	2	5.5	arthistorian	1	1	1	attempt	1	5	0.2	bc	1	8	0.125	berlin	40	65	0.615384615	betende	1	2	0.5	blog	12	4	3	bolt	2	1	2	boy	1	6	0.166666667	bring	1	7	0.142857143	bronze	1	13	0.076923077	bullet	1	3	0.333333333	bust	5	7	0.714285714	cc	1	3	0.333333333	collage	1	1	1	collection	1	20	0.05	conference	6	3	2	cool	1	11	0.090909091	created	1	13	0.076923077	crown	2	9	0.222222222	culture	4	12	0.333333333	cycladic
30863942@N00	adventure	15	3	5	aqueduct	1	1	1	arch	1	24	0.041666667	arrival	1	4	0.25	aztec	17	18	0.944444444	bluediamond	1	1	1	city	2	67	0.029850746	culture	3	12	0.25	df	15	4	3.75	diamond	1	3	0.333333333	early	1	23	0.043478261	engagement	1	1	1	gracious	1	1	1	head	2	29	0.068965517	jax	6	1	6	lift	1	2	0.5	mayor	10	6	1.666666667	mexico	15	31	0.483870968	mexicocity	14	4	3.5	outdoor	3	4	0.75	play	1	8	0.125	pyramid	5	16	0.3125	pyramidofthesun	1	3	0.333333333	quetzalcoatl	2	2	1	ring	1	4	0.25	ruin	15	48	0.3125	sculpture	1	68	0.014705882	skull	1	6	0.166666667	snake	3	6	0.5	temple	12	47	0.255319149	templo	10	5	2	templomayor	10	4	2.5	teotihuacan	10	5	2	tourist	1	32	0.03125	travel	15	35	0.428571429	view	2	117	0.017094017	wall	4	45	0.088888889	winter	12	17	0.705882353	zocalo	10	1	10					
30983292@N00	brazil	15	17	0.882352941	christ	15	23	0.652173913	de	15	134	0.111940299	janeiro	15	12	1.25	redeemer	15	16	0.9375	rio	15	19	0.789473684																																																																																																																																									
31018257@N00	15	1	23	0.043478261	30	1	20	0.05	300	1	6	0.166666667	abraco	2	1	2	abraço	1	1	1	ago	1	8	0.125	ai	2	1	2	ainda	3	2	1.5	ajuste	1	1	1	alguem	1	1	1	alguma	1	2	0.5	americalatina	15	1	15	amigavel	1	1	1	amigo	1	2	0.5	ao	1	5	0.2	aquele	1	1	1	aqui	3	1	3	argentina	17	19	0.894736842	assim	2	1	2	atrapalham	1	1	1	atrá	1	3	0.333333333	auto	1	2	0.5	avenida	3	1	3	avenidademayo	15	2	7.5	banco	2	3	0.666666667	bem	3	2	1.5	blue	2	28	0.071428571	bluesky	1	4	0.25	boa	4	1	4	bom	3	1	3	brincadeira	1	1	1	buenosaire	15	16	0.9375	building	5	73	0.068493151	cable	3	5	0.6	cadana	1	1	1	cai	1	1	1	caiu	1	1	1	camera	1	26	0.038461538	canada	17	16	1.0625	canadá	1	2	0.5	casa
31019352@N00	3	1	59	0.016949153	amien	45	20	2.25	amp	2	29	0.068965517	apostle	4	5	0.8	april	2	12	0.166666667	architecture	15	70	0.214285714	architecturelibrary	15	1	15	aug	2	1	2	august	6	13	0.461538462	base	2	20	0.1	blessed	3	3	1	buttress	3	4	0.75	cathedral	45	85	0.529411765	choir	3	8	0.375	dame	45	10	4.5	det	1	1	1	detail	2	47	0.042553191	door	11	32	0.34375	facade	2	22	0.090909091	flying	3	6	0.5	france	45	60	0.75	god	3	16	0.1875	int	1	2	0.5	interior	3	26	0.115384615	jul	1	1	1	july	3	11	0.272727273	jun	2	2	1	june	6	14	0.428571429	lantern	15	3	5	library	15	15	1	lower	3	12	0.25	march	2	17	0.117647059	mary	9	13	0.692307692	mother	3	8	0.375	ndlanternslide	15	1	15	north	5	64	0.078125	notre	45	10	4.5	notredame	15	4	3.75	notredamearchitecture	15	1	15	nov	1	5	0.2	november
